936;Beacon Battery (Deployable ELT systems);31;
124282;AHRS CALIBRATION PROMS N. 1;34;
7010133;FLUX. VALVE;34;
45521002;Pressure Vessel;;
45521003;Pressure Vessel;;
;SX16 seqrch light gimbal;33;
0230390-202;SEARCH LIGHT;33;
05-01FNR/1;DIGITAL VIDEO RECORDER;;
064-01072-0101;AMPLIFIER,HF POWER;23;
064-01073-0102;HF RECEIVER EXCITER;23;
064-01074-0101;HF ANTENNA COUPLER;23;
066-01177-0101;TCAS PROCESSOR;34;
071-00112-0200;TCAS CONF. MODULE;34;
071-01599-0100;TCAS DIRECTIONAL ANTENNA;34;
100-3010-000;RIPS BATTERY;31;
100-601944-100;GPS 2;;
109-0630-61-127;ENGINE CONTROL LEVER ASSY;71;
109-0740V33-101;ANTI COLLISION LIGHT ASSY;33;
109-0770V02-101;DIGITAL MAP CONTROL PANEL;34;
109-0770V02-103;DIGITAL MAP DATA LOADER PANEL;34;
1152546-2;STARTER GENERATOR;24;
1152550-4;CONTROL UNIT,GENERATOR;24;
1152554-1;STANDBY BATTERY 13AH;24;
1152572-2;RADAR STATIC INVERTER;34;
1153522-1;MAIN BATTERY 44AH;24;
145130-1002;ATTITUDE AND HEADING REFERENCE UNIT;34;
1768-60;Compressor pack drive belt (ECS);21;
1-8486-3;ACTUATOR,SMART LINEAR;22;
204-070-907-11;LEFT/RIGHT WIPER BLADE;;
210.001-001;RN6 DIGITAL MAP GENERATOR;34;
21-5EB;RADIO NAT NPX ANTENNA;23;
245-604067-001;GPS MODULE MAU 2;;
251-002;PASSENGERS SPEAKER AMPLIFIER;23;
255.01-04;DIGITAL MAP HNR 4.0 TRAY;34;
261D913;ANTENNA MARKER BEACON;34;
2-8486-3;ACTUATOR,SMART LINEAR;22;
302445A;Inflation Valve;95;
30903914-1;Pyrotechnic Squib;;
30903915-1;Pyrotechnic Squib;;
350CF00003;FLIR ULTRAFORCE TURRET;95;
364-2000-001;RADAR INTERFACE UNIT;34;
364-4000-001;RADAR CONTROL PANEL;34;
364-5000-001;RADAR ANTENNA DRIVE 180;34;
