____ _/_:;835:48;;835,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landings:;1652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
__________:;September 3, 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cat.A:;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ext. Hoist Lifts:;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ext. Load Op:;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Above 6400 Kg:;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start/Stop 27Kts:;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoist Lift Hours:;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Aircraft at Installation;;;Part Total at Installation;;;;INTERVAL;;;;Since Installation;;;Actual Part Total;;;Remaining;;;Expected;;;;;;
Description;P/N;Main P/N ;S/N;Position;Action;"A/C at IN
Calendar";"A/C at IN
Hours";"A/C at IN
Landings";Calendar Days;"Part at IN
DAYS";"Part at IN
Hours2";"Part at IN
Landings";Interval;"Interval
DAYS4";"Interval
FH";"Interval
Landings";"Since IN
Cal. Days";"Since IN
Hours6";"Since IN
Landings";"Actual
Days";"Actual
Hours8";"Actual
Landings";"Remaining
Days10";"Remaining
Hours11";"Remaining
Landings";"Expected
Date";___/____;;;;;
Beacon Battery (Deployable ELT system);936;936;;;Discard;05/07/2010;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;;;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/07/2015;;;;;;
AHRS CALIBRATION PROMS N. 1;124282;124282;12550;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
AHRS CALIBRATION PROMS N. 2;124282;124282;12698;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
FLUX. VALVE 1;7010133;7010133;1004J597;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
FLUX. VALVE 2;7010133;7010133;1004J603;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
Pressure Vessel (2 off);45521002;45521002;OL42275;;Overhaul;05/07/2010;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;;;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/07/2015;;;;;;
;45521003;45521003;OL42237;;Overhaul;05/07/2010;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;;;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/07/2015;;;;;;
SX16 seqrch light gimbal;019059-11;019059-11;;;Discard;05/07/2010;0;0;0Y 0M 0D;0;0;;10Y 0M 0D;3650;;;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/07/2020;;;;;;
SEARCH LIGHT;0230390-202;0230390-202;102002;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
SEARCH LIGHT;0230390-202;0230390-202;102006;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
SEARCH LIGHT;0230390-202;0230390-202;102007;2;On condition;23/07/2012;95,34;236;;#VALUE!;;;0Y 0M 0D;0;;;760;740,46;1416;#VALUE!;740,46;1416;n/a;n/a;n/a;n/a;;;;;;
DIGITAL VIDEO RECORDER;05-01FNR/1;05-01FNR/1;72106;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
AMPLIFIER,HF POWER;064-01072-0101;064-01072-0101;KPA1052-4520;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
HF RECEIVER EXCITER;064-01073-0102;064-01073-0102;KRX1053-5063;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
HF ANTENNA COUPLER;064-01074-0101;064-01074-0101;KAC1052-4447;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
TCAS PROCESSOR;066-01177-0101;066-01177-0101;KTA910-1902;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
TCAS CONF. MODULE;071-00112-0200;071-00112-0200;16145;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
TCAS DIRECTIONAL ANTENNA;071-01599-0100;071-01599-0100;22380;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
TCAS DIRECTIONAL ANTENNA;071-01599-0100;071-01599-0100;22388;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
RIPS BATTERY;100-3010-000;100-3010-000;00102;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
GPS 2;100-601944-100;100-601944-100;10031693;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
ENGINE CONTROL LEVER ASSY;109-0630-61-127;109-0630-61-127;09056;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
ANTI COLLISION LIGHT ASSY;109-0740V33-101;109-0740V33-101;S10690154;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
DIGITAL MAP CONTROL PANEL;109-0770V02-101;109-0770V02-101;CLN-00816;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
DIGITAL MAP DATA LOADER PANEL;109-0770V02-103;109-0770V02-103;SBN-00117;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
STARTER GENERATOR;1152546-2;1152546-2;1152546-01254;;Overhaul;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;1000;;1498;835,8;1652;1498;835,8;1652;n/a;164,2;n/a;n/a;;;;;;
STARTER GENERATOR;1152546-2;1152546-2;1152546-01160;;Overhaul;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;1000;;1498;835,8;1652;1498;835,8;1652;n/a;164,2;n/a;n/a;;;;;;
CONTROL UNIT,GENERATOR;1152550-4;1152550-4;1152550-01342;1;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
CONTROL UNIT,GENERATOR;1152550-4;1152550-4;1152550-01333;2;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
STANDBY BATTERY 13AH;1152554-1;1152554-1;1152554-00414;;On condition;24/08/2012;104,09;284;;#VALUE!;0;;0Y 0M 0D;0;;;729;731,71;1368;#VALUE!;731,71;1368;n/a;n/a;n/a;n/a;;;;;;
RADAR STATIC INVERTER;1152572-2;1152572-2;1152572-00212;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
MAIN BATTERY 44AH;1153522-1;1153522-1;1153522-00225;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
ATTITUDE AND HEADING REFERENCE UNIT;145130-1002;145130-1002;3343;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
ATTITUDE AND HEADING REFERENCE UNIT;145130-1002;145130-1002;3345;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
Compressor pack drive belt (ECS);1768-60;1768-60;--;A;Discard;19/07/2013;439,783;;0Y 0M 0D;0;0;0;2Y 0M 0D;730;600;;404;396,017;1652;404;396,017;1652;326;203,983;n/a;26/07/2015;;;;;;
Compressor pack drive belt (ECS);1768-60;1768-60;--;B;Discard;19/07/2013;439,783;;0Y 0M 0D;0;0;0;2Y 0M 0D;730;600;;404;396,017;1652;404;396,017;1652;326;203,983;n/a;26/07/2015;;;;;;
ACTUATOR,SMART LINEAR;1-8486-3;1-8486-3;3607;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
ACTUATOR,SMART LINEAR;1-8486-3;1-8486-3;3613;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
LEFT/RIGHT WIPER BLADE;204-070-907-11;204-070-907-11;;1;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
LEFT/RIGHT WIPER BLADE;204-070-907-11;204-070-907-11;;2;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
RN6 DIGITAL MAP GENERATOR;210.001-001;210.001-001;RN6-00848;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
RADIO NAT NPX ANTENNA;21-5EB;21-5EB;7602;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
GPS MODULE MAU 2;245-604067-001;245-604067-001;09114218;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
PASSENGERS SPEAKER AMPLIFIER;251-002;251-002;60819;;On condition;05/07/2010;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;;;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;;;;;;
