Description;P/N;S/N;"Actual
Days";"Actual
Hours8";"Actual
Landings";Position
Beacon Battery (Deployable ELT system);936;;1483;836;1652;0
AHRS CALIBRATION PROMS N. 1;124282;12550;1483;836;1652;1
AHRS CALIBRATION PROMS N. 2;124282;12698;1483;836;1652;2
FLUX. VALVE 1;7010133;1004J597;1483;836;1652;1
FLUX. VALVE 2;7010133;1004J603;1483;836;1652;2
Pressure Vessel (2 off);45521002;OL42275;1483;836;1652;1
Pressure Vessel (2 off);45521003;OL42237;1483;836;1652;2
SX16 seqrch light gimbal;019059-11;;1483;836;1652;0
SEARCH LIGHT;0230390-202;102002;1483;836;1652;1
SEARCH LIGHT;0230390-202;102006;1483;836;1652;2
SEARCH LIGHT;0230390-202;102007;0;740;1416;3
DIGITAL VIDEO RECORDER;05-01FNR/1;72106;1483;836;1652;0
AMPLIFIER,HF POWER;064-01072-0101;KPA1052-4520;1483;836;1652;0
HF RECEIVER EXCITER;064-01073-0102;KRX1053-5063;1483;836;1652;0
HF ANTENNA COUPLER;064-01074-0101;KAC1052-4447;1483;836;1652;0
TCAS PROCESSOR;066-01177-0101;KTA910-1902;1483;836;1652;0
TCAS CONF. MODULE;071-00112-0200;16145;1483;836;1652;0
TCAS DIRECTIONAL ANTENNA;071-01599-0100;22380;1483;836;1652;0
TCAS DIRECTIONAL ANTENNA;071-01599-0100;22388;1483;836;1652;0
RIPS BATTERY;100-3010-000;00102;1483;836;1652;0
GPS 2;100-601944-100;10031693;1483;836;1652;0
ENGINE CONTROL LEVER ASSY;109-0630-61-127;09056;1483;836;1652;0
ANTI COLLISION LIGHT ASSY;109-0740V33-101;S10690154;1483;836;1652;0
DIGITAL MAP CONTROL PANEL;109-0770V02-101;CLN-00816;1483;836;1652;0
DIGITAL MAP DATA LOADER PANEL;109-0770V02-103;SBN-00117;1483;836;1652;0
STARTER GENERATOR;1152546-2;1152546-01254;1483;836;1652;1
STARTER GENERATOR;1152546-2;1152546-01160;1483;836;1652;2
CONTROL UNIT,GENERATOR;1152550-4;1152550-01342;1483;836;1652;0
CONTROL UNIT,GENERATOR;1152550-4;1152550-01333;1483;836;1652;0
STANDBY BATTERY 13AH;1152554-1;1152554-00414;0;732;1368;0
RADAR STATIC INVERTER;1152572-2;1152572-00212;1483;836;1652;0
MAIN BATTERY 44AH;1153522-1;1153522-00225;1483;836;1652;0
ATTITUDE AND HEADING REFERENCE UNIT;145130-1002;3343;1483;836;1652;1
ATTITUDE AND HEADING REFERENCE UNIT;145130-1002;3345;1483;836;1652;2
Compressor pack drive belt (ECS);1768-60;--;389;396;1652;0
Compressor pack drive belt (ECS);1768-60;--;389;396;1652;0
ACTUATOR,SMART LINEAR;1-8486-3;3607;1483;836;1652;0
ACTUATOR,SMART LINEAR;1-8486-3;3613;1483;836;1652;0
LEFT/RIGHT WIPER BLADE;204-070-907-11;;1483;836;1652;1
LEFT/RIGHT WIPER BLADE;204-070-907-11;;1483;836;1652;2
RN6 DIGITAL MAP GENERATOR;210.001-001;RN6-00848;1483;836;1652;0
RADIO NAT NPX ANTENNA;21-5EB;7602;1483;836;1652;0
GPS MODULE MAU 2;245-604067-001;09114218;1483;836;1652;0
PASSENGERS SPEAKER AMPLIFIER;251-002;60819;1483;836;1652;0
DIGITAL MAP HNR 4.0 TRAY;255.01-04;HNR-00644;1483;836;1652;0
ANTENNA MARKER BEACON;261D913;20129;1483;836;1652;0
ACTUATOR,SMART LINEAR;2-8486-3;3553;1483;836;1652;0
ACTUATOR,SMART LINEAR;2-8486-3;3620;1483;836;1652;0
Inflation Valve;302445A;CE043;1483;836;1652;0
Inflation Valve;302445A;CE308;1483;836;1652;0
Pyrotechnic Squib;30903914-1;;1483;836;1652;0
Pyrotechnic Squib;30903914-1;;1483;836;1652;0
Pyrotechnic Squib;30903915-1;;1483;836;1652;0
Pyrotechnic Squib;30903915-1;;1483;836;1652;0
FLIR ULTRAFORCE TURRET;350CF00003;271;198;836;1652;0
RADAR INTERFACE UNIT;364-2000-001;T3080;102;836;1652;0
RADAR CONTROL PANEL;364-4000-001;T3051;1483;836;1652;0
RADAR ANTENNA DRIVE 180;364-5000-001;T3037;1483;836;1652;0
PILOT COLLECTIVE STICK ASSY.;3E6711A00133;511;1483;836;1652;0
COPILOT COLLECTIVE STICK ASSY.;3E6711A00234;MCR00501;1483;836;1652;0
UPPER TORSION TUBE ASSY.;3E6711A00433;383;1483;836;1652;0
LOWER TORSION TUBE ASSY;3E6711A05732;MCR00368;1483;836;1652;0
PILOT CYCLIC STICK ASSY.;3E6712A00132;679;1483;836;1652;0
COPILOT CYCLIC STICK ASSY.;3E6712A00233;598;1483;836;1652;0
TORSION TUBE ASSY.;3E6712A00332;379;1483;836;1652;0
MIXING UNIT ASSY.;3E6713A00132;MCR00382;1483;836;1652;0
PILOT PEDAL ASSY;3E6721A00138;1287;1483;836;1652;0
PILOT PEDAL ASSY;3E6721A00138;1288;1483;836;1652;0
MVA Rod assy;3G1860A03535;R99;1483;836;1652;0
HEATING CONTROL BOX;3G2140V00252;00582;1483;836;1652;0
SHUT OFF VALVE;3G2140V01451;0548;1483;836;1652;1
SHUT OFF VALVE;3G2140V01451;0597;1483;836;1652;2
AIR CONDITIONING CONTROL BOX N.1;3G2150V00252;00838;1483;836;1652;1
AIR CONDITIONING CONTROL BOX N.1;3G2150V00252;00877;1483;836;1652;2
COCKPIT CONTROL PANEL;3G2150V00354;00186;1483;836;1652;0
COMPRESSOR PACK ASSY.;3G2150V01153;1768-00525;1483;836;1652;0
TRIM ACTUATOR ASSY (YAW);3G2220V00136;7235;1483;836;1652;0
ACTUATOR ASSY,TRIM;3G2220V00137;7028;1483;836;1652;0
ACTUATOR ASSY,TRIM;3G2220V00137;7211;1483;836;1652;0
TRIM ACTUATOR ASSY (COLLECTIVE);3G2220V00234;1545;1483;836;1652;0
DISTRIBUTION PANEL,POWER,NUMBER 1;3G2430V00551;1152540-00562;1483;836;1652;0
DISTRIBUTION PANEL,POWER,NUMBER 2;3G2430V00651;1152616-00536;1483;836;1652;0
PILOT SEAT ASSY;3G2510V00833;0330;1483;836;1652;1
PILOT SEAT ASSY;3G2510V00833;0331;1483;836;1652;2
Seat Belt;3G2520V00551;;1483;836;1652;0
LIFE RAFT LH;3G2560V00332;119;260;507;1652;0
