Beacon Battery (Deployable ELT system);936;936;;;DS;5/7/10;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;0;0;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/7/15;
SX16 seqrch light gimbal;019059-11;019059-11;;;DS;5/7/10;0;0;0Y 0M 0D;0;0;;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
Compressor pack drive belt (ECS);1768-60;1768-60;--;A;DS;19/7/13;439,783;;0Y 0M 0D;0;0;0;2Y 0M 0D;730;600;0;404;396,017;1652;404;396,017;1652;326;203,983;n/a;26/7/15;
Compressor pack drive belt (ECS);1768-60;1768-60;--;B;DS;19/7/13;439,783;;0Y 0M 0D;0;0;0;2Y 0M 0D;730;600;0;404;396,017;1652;404;396,017;1652;326;203,983;n/a;26/7/15;
Pyrotechnic Squib;30903914-1;3G2620V00131;;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
Pyrotechnic Squib;30903914-1;3G2620V00131;;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
Pyrotechnic Squib;30903915-1;3G2620V00131;;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
Pyrotechnic Squib;30903915-1;3G2620V00131;;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
Seat Belt;3G2520V00551;3G2520V00551;;;DS;5/7/10;0;0;0Y 0M 0D;0;;;12Y 0M 0D;4380;0;0;1498;835,8;1652;1498;835,8;1652;2882;n/a;n/a;25/7/22;
Foams Installation (fuel tanks);3G2810A00413;3G2810V00132;--;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;3000;0;1498;835,8;1652;1498;835,8;1652;2152;2164,2;n/a;25/7/20;
Foams Installation (fuel tanks);3G2810A00413;3G2810V00232;--;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;3000;0;1498;835,8;1652;1498;835,8;1652;2152;2164,2;n/a;25/7/20;
Battery pack (HEELS Battery Assy);3G3350V00151;3G3350A01811;11468;;DS;21/12/12;439,78;;0Y 0M 0D;0;0;0;2Y 0M 0D;730;0;0;612;396,02;1652;612;396,02;1652;118;n/a;n/a;30/12/14;
Battery pack (HEELS Battery Assy);3G3350V00151;3G3350A01811;11471;;DS;21/12/12;439,78;;0Y 0M 0D;0;;0;2Y 0M 0D;730;0;0;612;396,02;1652;612;396,02;1652;118;n/a;n/a;30/12/14;
Battery pack (HEELS Battery Assy);3G3350V00151;3G3350A01811;11472;;DS;21/12/12;439,78;;0Y 0M 0D;0;;0;2Y 0M 0D;730;0;0;612;396,02;1652;612;396,02;1652;118;n/a;n/a;30/12/14;
Battery pack (HEELS Battery Assy);3G3350V00151;3G3350A01811;11465;;DS;21/12/12;439,78;;0Y 0M 0D;0;;0;2Y 0M 0D;730;0;0;612;396,02;1652;612;396,02;1652;118;n/a;n/a;30/12/14;
MGB Upper Fitting;3G6330A00234;3G6330A00234;R192;;DS;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;0;95800;1498;835,8;1658;1498;835,8;1658;n/a;n/a;94142;n/a;
MGB Upper Fitting;3G6330A00234;3G6330A00234;R194;;DS;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;0;95800;1498;835,8;1658;1498;835,8;1658;n/a;n/a;94142;n/a;
MGB Upper Fitting;3G6330A00234;3G6330A00234;R195;;DS;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;0;95800;1498;835,8;1658;1498;835,8;1658;n/a;n/a;94142;n/a;
MGB Upper Fitting;3G6330A00234;3G6330A00234;R196;;DS;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;0;95800;1498;835,8;1658;1498;835,8;1658;n/a;n/a;94142;n/a;
DISC;3G6351V00551;3G6351V00551;FR0543;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;0;1498;835,8;1652;1498;835,8;1652;n/a;n/a;n/a;n/a;DT 63-02
EXTERNAL HOIST CABLE;42325-298;;==;;DS;19/4/13;541,8;;0Y 0M 0D;0;;;4Y 0M 0D;1460;0;0;494;294;1652;494;294;1652;966;n/a;n/a;26/4/17;
EXTERNAL HOIST CABLE;42325-298;;S71-184;;DS;1/2/14;400;;0Y 0M 0D;0;;;4Y 0M 0D;1460;0;0;212;435,8;1652;212;435,8;1652;1248;n/a;n/a;2/2/18;
CARTRIGE;42315-281;42315-281;725;;DS;10/10/10;0;0;0Y 0M 0D;0;0;0;5Y 0M 0D;1825;0;0;1403;835,8;1652;1403;835,8;1652;422;n/a;n/a;30/10/15;
CARTRIGE;42315-281;42315-281;748;;DS;10/10/10;0;0;0Y 0M 0D;0;0;0;5Y 0M 0D;1825;0;0;1403;835,8;1652;1403;835,8;1652;422;n/a;n/a;30/10/15;
System Interface Unit Battery (Deployable ELT);A01011;503-24-6;101375;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 30M 0D;900;0;0;1498;835,8;1652;1498;835,8;1652;-598;n/a;n/a;13/1/13;
PORTABLE FIRE EXTINGUISHER;A072A02;A072A02;06-2010/06882;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
PORTABLE FIRE EXTINGUISHER;A072A02;A072A02;03-2010/06615;;DS;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
Beacon Battery (MPFDR system);DK140;389525-005;ST31234;;DS;5/7/10;0;0;;#VALUE!;;;6Y 0M 0D;2190;0;0;1498;835,8;1652;#VALUE!;835,8;1652;#VALUE!;n/a;n/a;#VALUE!;BATTERY EXPIRES ON 07/2016
4-point patient restraint harness;KO-7055-003;KO-7055-003;;;DS;5/7/10;0;0;;#VALUE!;;;12Y 0M 0D;4380;0;0;1498;835,8;1652;#VALUE!;835,8;1652;#VALUE!;n/a;n/a;#VALUE!;
Leg Belts;KO7071-001;KO7071-001;;;DS;5/7/10;0;0;;#VALUE!;;;12Y 0M 0D;4380;0;0;1498;835,8;1652;#VALUE!;835,8;1652;#VALUE!;n/a;n/a;#VALUE!;
Pressure Vessel;P-F20006;P-F20006;FI3427;;DS;5/7/10;0;0;;#VALUE!;;;15Y 0M 0D;5475;0;0;1498;835,8;1652;#VALUE!;835,8;1652;#VALUE!;n/a;n/a;#VALUE!;
Pressure Vessel;P-F20006;P-F20006;FI3829;;DS;5/7/10;0;0;;#VALUE!;;;15Y 0M 0D;5475;0;0;1498;835,8;1652;#VALUE!;835,8;1652;#VALUE!;n/a;n/a;#VALUE!;
Pressure Vessel (2 off);45521002;45521002;OL42275;;OH;5/7/10;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;0;0;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/7/15;
;45521003;45521003;OL42237;;OH;5/7/10;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;0;0;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/7/15;
STARTER GENERATOR;1152546-2;1152546-2;1152546-01254;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;1000;0;1498;835,8;1652;1498;835,8;1652;n/a;164,2;n/a;n/a;
STARTER GENERATOR;1152546-2;1152546-2;1152546-01160;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;1000;0;1498;835,8;1652;1498;835,8;1652;n/a;164,2;n/a;n/a;
Inflation Valve;302445A;302445A;CE043;;OH;5/7/10;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;0;0;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/7/15;
Inflation Valve;302445A;302445A;CE308;;OH;5/7/10;0;0;0Y 0M 0D;0;;;5Y 0M 0D;1825;0;0;1498;835,8;1652;1498;835,8;1652;327;n/a;n/a;27/7/15;
LIFE RAFT LH;3G2560V00332;3G2560V00332;119;1;OH;28/5/14;790,5;;0Y 6M 0D;180;461,5;;3Y 5M 0D;1245;0;0;95;45,3;1652;275;506,8;1652;970;n/a;n/a;30/4/17;
LIFE RAFT RH;3G2560V00432;3G2560V00432;125;2;OH;28/5/14;790,5;317;0Y 6M 0D;180;706,75;;3Y 5M 0D;1245;0;0;95;45,3;1335;275;752,05;1335;970;n/a;n/a;30/4/17;
HOIST CORE K2;3G2591V01532;3G2591V01532;118;1;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;111;0;1498;15;1652;1498;15;1652;2152;96;n/a;25/7/20;
HOIST CORE K2;3G2591V01532;3G2591V01532;127;2;OH;13/12/13;622,16;;3Y 0M 0D;1095;327;;10Y 0M 0D;3650;111;0;260;15;1652;1355;342;1652;2295;-231;n/a;15/12/20;
CARGO HOOK SUPPORT FRAME;3G2592V00451;3G2592V00451;141;;OH;19/5/14;751;;2Y 11M 0D;1060;594,2;0;3Y 0M 0D;1095;0;0;104;84,8;1652;1164;679;1652;-69;n/a;n/a;26/6/14;
CARGO HOOK ASSY;3G2592V00651;3G2592V00651;B3701;;OH;19/5/14;751;;0Y 11M 0D;330;299,2;;3Y 0M 0D;1095;0;0;104;84,8;1652;434;384;1652;661;n/a;n/a;25/6/16;
MAIN ROTOR LAG DAMPER;3G6220V01351;3G6220V01352;2628;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;2400;0;1498;835,8;1652;1498;835,8;1652;n/a;1564,2;n/a;n/a;RT AT 48600 FH
MAIN ROTOR LAG DAMPER;3G6220V01351;3G6220V01352;6372;;OH;21/1/13;455,54;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;2400;0;582;380,26;1652;582;380,26;1652;n/a;2019,74;n/a;n/a;RT AT 48600 FH
